"N","sim","alpha","e","P","seed","rownum","intercept","beta","y_var","R","b","e_alpha"
50000,76,0.25,1,500,44679,228,1,3,1000,100,100,1
10000,77,0.25,1,100,4626,229,1,3,1000,100,100,1
25000,77,0.25,1,250,78800,230,1,3,1000,100,100,1
50000,77,0.25,1,500,7349,231,1,3,1000,100,100,1
10000,78,0.25,1,100,45032,232,1,3,1000,100,100,1
25000,78,0.25,1,250,92901,233,1,3,1000,100,100,1
50000,78,0.25,1,500,96863,234,1,3,1000,100,100,1
10000,79,0.25,1,100,60553,235,1,3,1000,100,100,1
25000,79,0.25,1,250,9690,236,1,3,1000,100,100,1
50000,79,0.25,1,500,73290,237,1,3,1000,100,100,1
10000,80,0.25,1,100,42473,238,1,3,1000,100,100,1
25000,80,0.25,1,250,44128,239,1,3,1000,100,100,1
50000,80,0.25,1,500,57242,240,1,3,1000,100,100,1
10000,81,0.25,1,100,96561,241,1,3,1000,100,100,1
25000,81,0.25,1,250,59756,242,1,3,1000,100,100,1
50000,81,0.25,1,500,37588,243,1,3,1000,100,100,1
10000,82,0.25,1,100,83203,244,1,3,1000,100,100,1
25000,82,0.25,1,250,44539,245,1,3,1000,100,100,1
50000,82,0.25,1,500,3434,246,1,3,1000,100,100,1
10000,83,0.25,1,100,67940,247,1,3,1000,100,100,1
25000,83,0.25,1,250,59507,248,1,3,1000,100,100,1
50000,83,0.25,1,500,54036,249,1,3,1000,100,100,1
10000,84,0.25,1,100,29399,250,1,3,1000,100,100,1
25000,84,0.25,1,250,13024,251,1,3,1000,100,100,1
50000,84,0.25,1,500,74123,252,1,3,1000,100,100,1
10000,85,0.25,1,100,92328,253,1,3,1000,100,100,1
25000,85,0.25,1,250,97502,254,1,3,1000,100,100,1
50000,85,0.25,1,500,40100,255,1,3,1000,100,100,1
10000,86,0.25,1,100,24738,256,1,3,1000,100,100,1
25000,86,0.25,1,250,84392,257,1,3,1000,100,100,1
50000,86,0.25,1,500,64242,258,1,3,1000,100,100,1
10000,87,0.25,1,100,39961,259,1,3,1000,100,100,1
25000,87,0.25,1,250,14528,260,1,3,1000,100,100,1
50000,87,0.25,1,500,37798,261,1,3,1000,100,100,1
10000,88,0.25,1,100,70086,262,1,3,1000,100,100,1
25000,88,0.25,1,250,53210,263,1,3,1000,100,100,1
50000,88,0.25,1,500,87192,264,1,3,1000,100,100,1
10000,89,0.25,1,100,21719,265,1,3,1000,100,100,1
25000,89,0.25,1,250,78803,266,1,3,1000,100,100,1
50000,89,0.25,1,500,24576,267,1,3,1000,100,100,1
10000,90,0.25,1,100,1475,268,1,3,1000,100,100,1
25000,90,0.25,1,250,64169,269,1,3,1000,100,100,1
50000,90,0.25,1,500,39935,270,1,3,1000,100,100,1
10000,91,0.25,1,100,33743,271,1,3,1000,100,100,1
25000,91,0.25,1,250,72766,272,1,3,1000,100,100,1
50000,91,0.25,1,500,42927,273,1,3,1000,100,100,1
10000,92,0.25,1,100,75530,274,1,3,1000,100,100,1
25000,92,0.25,1,250,50054,275,1,3,1000,100,100,1
50000,92,0.25,1,500,92576,276,1,3,1000,100,100,1
10000,93,0.25,1,100,82875,277,1,3,1000,100,100,1
25000,93,0.25,1,250,68886,278,1,3,1000,100,100,1
50000,93,0.25,1,500,99788,279,1,3,1000,100,100,1
10000,94,0.25,1,100,11443,280,1,3,1000,100,100,1
25000,94,0.25,1,250,56562,281,1,3,1000,100,100,1
50000,94,0.25,1,500,89923,282,1,3,1000,100,100,1
10000,95,0.25,1,100,99550,283,1,3,1000,100,100,1
25000,95,0.25,1,250,29763,284,1,3,1000,100,100,1
50000,95,0.25,1,500,11163,285,1,3,1000,100,100,1
10000,96,0.25,1,100,8728,286,1,3,1000,100,100,1
25000,96,0.25,1,250,21128,287,1,3,1000,100,100,1
50000,96,0.25,1,500,70011,288,1,3,1000,100,100,1
10000,97,0.25,1,100,43329,289,1,3,1000,100,100,1
25000,97,0.25,1,250,67719,290,1,3,1000,100,100,1
50000,97,0.25,1,500,39794,291,1,3,1000,100,100,1
10000,98,0.25,1,100,71095,292,1,3,1000,100,100,1
25000,98,0.25,1,250,98220,293,1,3,1000,100,100,1
50000,98,0.25,1,500,22566,294,1,3,1000,100,100,1
10000,99,0.25,1,100,18478,295,1,3,1000,100,100,1
25000,99,0.25,1,250,83362,296,1,3,1000,100,100,1
50000,99,0.25,1,500,21104,297,1,3,1000,100,100,1
10000,100,0.25,1,100,37912,298,1,3,1000,100,100,1
25000,100,0.25,1,250,50345,299,1,3,1000,100,100,1
50000,100,0.25,1,500,60385,300,1,3,1000,100,100,1
10000,101,0.25,1,100,88767,301,1,3,1000,100,100,1
25000,101,0.25,1,250,96203,302,1,3,1000,100,100,1
50000,101,0.25,1,500,46369,303,1,3,1000,100,100,1
10000,102,0.25,1,100,4342,304,1,3,1000,100,100,1
25000,102,0.25,1,250,53749,305,1,3,1000,100,100,1
50000,102,0.25,1,500,68093,306,1,3,1000,100,100,1
10000,103,0.25,1,100,44939,307,1,3,1000,100,100,1
25000,103,0.25,1,250,55251,308,1,3,1000,100,100,1
50000,103,0.25,1,500,40828,309,1,3,1000,100,100,1
10000,104,0.25,1,100,51832,310,1,3,1000,100,100,1
